            Mã                                                                                                     Giá trị
0      CNQ-CTT                                                         Công nhận QSDĐ như giao đất có thu tiền sử dụng đất
1      CNQ-KTT                                                      Công nhận QSDĐ như giao đất không thu tiền sử dụng đất
2       DT-THN                                                                     Nhà nước cho thuê đất trả tiền hàng năm
3       DT-TML                                                                      Nhà nước cho thuê đất trả tiền một lần
4       DG-CTT                                                                   Nhà nước giao đất có thu tiền sử dụng đất
5       DG-KTT                                                                Nhà nước giao đất không thu tiền sử dụng đất
6        DG-QL                                                                                Nhà nước giao đất để quản lý
7       DT-KCN                    Thuê đất của doanh nghiệp đầu tư hạ tầng khu công nghiệp, khu kinh tế, khu công nghệ cao
8   DT-KCN-THN  Thuê đất trả tiền hàng năm của doanh nghiệp đầu tư hạ tầng khu công nghiệp, khi kinh tế, khu công nghệ cao
9   DT-KCN-TML   Thuê đất trả tiền một lần của doanh nghiệp đầu tư hạ tầng khu công nghiệp, khu kinh tế, khu công nghệ cao
10       NCQ-1                                                              Nhận chuyển quyền do giải quyết tranh chấp đất
11       NCQ-2                                                                      Nhận chuyển quyền do trúng đấu giá đất
12       NCQ-3                                                                  Nhận chuyển quyền do xử lý nợ thế chấp đất
13       NCQ-4                                                       Nhận chuyển quyền do giải quyết khiếu nại hoặc tố cáo
14       NCQ-5                                   Nhận chuyển quyền do thực hiện quyết định hoặc bản án của Tòa án nhân dân
15       NCQ-6                                                       Nhận chuyển quyền do thực hiện quyết định thi hành án
16       NCQ-7                                                                                         Nhận chuyển đổi đất
17       NCQ-8                                                                                      Nhận chuyển nhượng đất
18       NCQ-9                                                                                            Nhận thừa kế đất
19      NCQ-10                                                                                           Nhận tặng cho đất
20         CNQ                                                                        Nhà nước công nhận quyền sử dụng đất
21      CN-CTT                                       Nhà nước công nhận QSDĐ như Nhà nước giao đất có thu tiền sử dụng đất
22      CN-KTT                                    Nhà nước công nhận QSDĐ như Nhà nước giao đất không thu tiền sử dụng đất
